"","GeneID","DetectionFrequency"
"74","ENSG00000005007",0.9375
"75","ENSG00000005020",0.875
"76","ENSG00000005022",0.375
"77","ENSG00000005059",0.6875
"78","ENSG00000005073",0.5
"79","ENSG00000005075",0.3125
"80","ENSG00000005100",0.8125
"81","ENSG00000005102",0.625
"82","ENSG00000005108",0.75
"83","ENSG00000005156",0.71875
"84","ENSG00000005175",0.78125
"85","ENSG00000005187",0.9375
"86","ENSG00000005189",0.78125
"87","ENSG00000005194",0.65625
"88","ENSG00000005206",0.59375
"89","ENSG00000005238",0.625
"90","ENSG00000005243",0.71875
"91","ENSG00000005249",0.84375
"92","ENSG00000005302",0.71875
"93","ENSG00000005339",0.875
"94","ENSG00000005379",0.5625
"95","ENSG00000005381",0.75
"96","ENSG00000005421",0.59375
"97","ENSG00000005436",0.75
"98","ENSG00000005448",0.5625
"99","ENSG00000005469",0.78125
"100","ENSG00000005471",0.84375
"101","ENSG00000005483",0.8125
"102","ENSG00000005486",0.375
"103","ENSG00000005513",0.59375
"104","ENSG00000005700",0.875
"105","ENSG00000005801",0.75
"106","ENSG00000005810",0.84375
"107","ENSG00000005812",0.65625
"108","ENSG00000005844",0.71875
"109","ENSG00000005882",0.40625
"110","ENSG00000005884",0.8125
"111","ENSG00000005889",0.8125
"112","ENSG00000005893",0.6875
"113","ENSG00000005961",0.71875
"114","ENSG00000005981",0.6875
"115","ENSG00000006007",0.53125
"116","ENSG00000006015",0.46875
"117","ENSG00000006016",0.34375
"118","ENSG00000006025",0.5625
"119","ENSG00000006042",0.84375
"120","ENSG00000006047",0.6875
"121","ENSG00000006059",0.40625
"122","ENSG00000006062",0.75
"123","ENSG00000006071",0.8125
"124","ENSG00000006116",0.5
"125","ENSG00000006118",0.28125
"126","ENSG00000006125",0.875
"127","ENSG00000006128",0.71875
"128","ENSG00000006194",0.65625
"129","ENSG00000006210",0.59375
"130","ENSG00000006282",0.625
"131","ENSG00000006283",0.75
"132","ENSG00000006327",0.40625
"133","ENSG00000006377",0.84375
"134","ENSG00000006432",0.8125
"135","ENSG00000006451",0.53125
"136","ENSG00000006453",0.59375
"137","ENSG00000006459",0.84375
"138","ENSG00000006468",0.84375
"139","ENSG00000006530",0.78125
"140","ENSG00000006534",0.5625
"141","ENSG00000006555",0.8125
"142","ENSG00000006576",0.90625
"143","ENSG00000006606",0.5625
"144","ENSG00000006607",0.9375
"145","ENSG00000006611",0.875
"146","ENSG00000006625",0.59375
"147","ENSG00000006634",0.75
"148","ENSG00000006638",0.625
"149","ENSG00000006652",0.90625
"150","ENSG00000006659",0.4375
"151","ENSG00000006695",0.59375
"152","ENSG00000006704",0.84375
"153","ENSG00000006712",0.59375
"154","ENSG00000006715",0.84375
"155","ENSG00000006740",0.71875
"156","ENSG00000006744",0.9375
"157","ENSG00000006747",0.90625
"158","ENSG00000006756",0.5
"159","ENSG00000006757",0.65625
"160","ENSG00000006788",0.96875
"161","ENSG00000006831",0.6875
"162","ENSG00000006837",0.5
"163","ENSG00000007001",0.625
"164","ENSG00000007038",0.5
"165","ENSG00000007047",0.625
"166","ENSG00000007062",0.90625
"167","ENSG00000007080",0.6875
"168","ENSG00000007129",0.71875
"169","ENSG00000007168",0.78125
"170","ENSG00000007171",0.6875
"171","ENSG00000007174",0.90625
"172","ENSG00000007202",0.8125
"173","ENSG00000007216",0.5
"174","ENSG00000007237",0.9375
"175","ENSG00000007255",0.40625
"176","ENSG00000007264",0.75
"177","ENSG00000007306",0.65625
"178","ENSG00000007312",0.5625
"179","ENSG00000007314",0.5
"180","ENSG00000007341",0.71875
"181","ENSG00000007350",0.53125
"182","ENSG00000007372",0.96875
"183","ENSG00000007376",0.21875
"184","ENSG00000007384",0.34375
"185","ENSG00000007392",0.8125
"186","ENSG00000007402",0.625
"187","ENSG00000007516",0.625
"188","ENSG00000007520",0.5
"189","ENSG00000007541",0.4375
"190","ENSG00000007545",0.25
"191","ENSG00000007866",0.46875
"192","ENSG00000007908",0.78125
"193","ENSG00000007923",0.625
"194","ENSG00000007933",0.8125
"195","ENSG00000007944",0.75
"196","ENSG00000007952",0.53125
"197","ENSG00000007968",0.65625
"198","ENSG00000008018",0.375
"199","ENSG00000008056",0.25
"200","ENSG00000008083",0.84375
"201","ENSG00000008086",0.71875
"202","ENSG00000008118",0.78125
"203","ENSG00000008128",0.0625
"204","ENSG00000008130",0.59375
"205","ENSG00000008196",0.875
"206","ENSG00000008197",0.84375
"207","ENSG00000008226",0.71875
"208","ENSG00000008256",0.75
"209","ENSG00000008277",0.96875
"210","ENSG00000008282",0.5625
"211","ENSG00000008283",0.625
"212","ENSG00000008294",0.9375
"213","ENSG00000008300",0.78125
"214","ENSG00000008311",0.96875
"215","ENSG00000008323",0.75
"216","ENSG00000008324",0.4375
"217","ENSG00000008382",0.28125
"218","ENSG00000008394",0.90625
"219","ENSG00000008405",0.8125
"220","ENSG00000008438",0.28125
"221","ENSG00000008441",0.75
"222","ENSG00000008513",0.84375
"223","ENSG00000008516",0.21875
"224","ENSG00000008517",0.5
"225","ENSG00000008710",0.375
"226","ENSG00000008735",0.65625
"227","ENSG00000008838",0.75
"228","ENSG00000008853",0.5
"229","ENSG00000008869",0.90625
"230","ENSG00000008952",0.9375
"231","ENSG00000008988",0.875
"232","ENSG00000009307",0.84375
"233","ENSG00000009335",0.84375
"234","ENSG00000009413",0.8125
"235","ENSG00000009694",0.75
"236","ENSG00000009709",0.65625
"237","ENSG00000009724",0.625
"238","ENSG00000009765",0.8125
"239","ENSG00000009780",0.875
"240","ENSG00000009790",0.875
"241","ENSG00000009830",0.875
"242","ENSG00000009844",0.59375
"243","ENSG00000009950",0.71875
"244","ENSG00000009954",0.84375
"245","ENSG00000010017",0.65625
"246","ENSG00000010030",0.5625
"247","ENSG00000010072",0.71875
"248","ENSG00000010165",0.71875
"249","ENSG00000010219",0.875
"250","ENSG00000010244",0.875
"251","ENSG00000010256",0.375
"252","ENSG00000010270",0.875
"253","ENSG00000010278",0.625
"254","ENSG00000010282",0.34375
"255","ENSG00000010292",0.875
"256","ENSG00000010295",0.65625
"257","ENSG00000010310",0.6875
"258","ENSG00000010318",0.84375
"259","ENSG00000010319",0.75
"260","ENSG00000010322",0.90625
"261","ENSG00000010327",0.53125
"262","ENSG00000010361",0.5625
"263","ENSG00000010379",0.8125
"264","ENSG00000010404",0.5625
"265","ENSG00000010438",0.4375
"266","ENSG00000010539",0.71875
"267","ENSG00000010610",0.5
"268","ENSG00000010626",0.46875
"269","ENSG00000010671",0.75
"270","ENSG00000010704",0.5625
"271","ENSG00000010803",0.65625
"272","ENSG00000010810",0.96875
"273","ENSG00000010818",0.8125
"274","ENSG00000010932",0.59375
"275","ENSG00000011007",0.65625
"276","ENSG00000011009",0.21875
"277","ENSG00000011021",0.84375
"278","ENSG00000011028",0.625
"279","ENSG00000011052",0
"280","ENSG00000011083",0.5
"281","ENSG00000011105",0.65625
"282","ENSG00000011114",0.875
"283","ENSG00000011132",0.59375
"284","ENSG00000011143",0.625
"285","ENSG00000011198",0.6875
"286","ENSG00000011201",0.75
"287","ENSG00000011243",0.34375
"288","ENSG00000011258",0.90625
"289","ENSG00000011260",0.625
"290","ENSG00000011275",0.75
"291","ENSG00000011295",0.6875
"292","ENSG00000011304",0.625
"293","ENSG00000011332",0.5625
"294","ENSG00000011347",0.53125
"295","ENSG00000011376",0.78125
"296","ENSG00000011405",0.96875
"297","ENSG00000011422",0.65625
"298","ENSG00000011426",0.8125
"299","ENSG00000011451",0.71875
"300","ENSG00000011454",0.875
"301","ENSG00000011465",0.9375
"302","ENSG00000011478",0.53125
"303","ENSG00000011485",0.59375
"304","ENSG00000011523",0.71875
"305","ENSG00000011566",0.84375
"306","ENSG00000011590",0.5625
"307","ENSG00000011600",0.3125
"308","ENSG00000011638",0.6875
"309","ENSG00000011677",0.6875
"310","ENSG00000012048",0.90625
"311","ENSG00000012061",0.625
"312","ENSG00000012124",0.6875
"313","ENSG00000012171",0.53125
"314","ENSG00000012174",0.65625
"315","ENSG00000012211",0.34375
"316","ENSG00000012223",0.84375
"317","ENSG00000012232",0.8125
"318","ENSG00000012504",0.8125
"319","ENSG00000012660",0.71875
"320","ENSG00000012779",0.65625
"321","ENSG00000012817",0.25
"322","ENSG00000012822",0.75
"323","ENSG00000012963",0.53125
"324","ENSG00000012983",0.90625
"325","ENSG00000013016",0.6875
"326","ENSG00000013275",0.59375
"327","ENSG00000013288",0.8125
"328","ENSG00000013293",0.875
"329","ENSG00000013297",0.71875
"330","ENSG00000013306",0.75
"331","ENSG00000013364",0.71875
"332","ENSG00000013374",0.625
"333","ENSG00000013375",0.875
"334","ENSG00000013392",0.75
"335","ENSG00000013441",0.78125
"336","ENSG00000013503",0.6875
"337","ENSG00000013523",0.75
"338","ENSG00000013561",0.71875
"339","ENSG00000013563",0.40625
"340","ENSG00000013573",0.59375
"341","ENSG00000013583",0.59375
"342","ENSG00000013588",0.75
"343","ENSG00000013619",0.53125
"344","ENSG00000013725",0.65625
"345","ENSG00000013810",0.78125
"346","ENSG00000014123",0.78125
"347","ENSG00000014138",0.875
"348","ENSG00000014164",0.625
"349","ENSG00000014216",0.65625
"350","ENSG00000014257",0.875
"351","ENSG00000014641",0.875
"352","ENSG00000014824",0.6875
"353","ENSG00000014914",0.625
"354","ENSG00000014919",0.65625
"355","ENSG00000015133",0.90625
"356","ENSG00000015153",0.90625
"357","ENSG00000015171",0.90625
"358","ENSG00000015285",0.5
"359","ENSG00000015413",0.59375
"360","ENSG00000015475",0.75
"361","ENSG00000015479",0.5625
"362","ENSG00000015520",0.625
"363","ENSG00000015532",0.59375
"364","ENSG00000015568",0
"365","ENSG00000015592",0.8125
"366","ENSG00000015676",0.75
"367","ENSG00000016082",0.59375
"368","ENSG00000016391",0.78125
"369","ENSG00000016402",0.71875
"370","ENSG00000016490",0.75
"371","ENSG00000016602",0.65625
"372","ENSG00000016864",0.5625
"373","ENSG00000017260",0.875
"374","ENSG00000017427",0.21875
"375","ENSG00000017483",0.4375
"376","ENSG00000017797",0.8125
"377","ENSG00000018189",0.875
"378","ENSG00000018236",0.71875
"379","ENSG00000018280",0.625
"380","ENSG00000018408",0.90625
"381","ENSG00000018510",0.875
"382","ENSG00000018607",0.59375
"383","ENSG00000018610",0.46875
"384","ENSG00000018625",0.6875
"385","ENSG00000018699",0.75
"386","ENSG00000018869",0.8125
"387","ENSG00000019102",0.625
"388","ENSG00000019144",0.84375
"389","ENSG00000019169",0.8125
"390","ENSG00000019186",0.875
"391","ENSG00000019485",0.875
"392","ENSG00000019505",0.71875
"393","ENSG00000019549",0.71875
"394","ENSG00000019582",0.5625
"395","ENSG00000019991",0.78125
"396","ENSG00000019995",0.53125
"397","ENSG00000020129",0.6875
"398","ENSG00000020181",0.40625
"399","ENSG00000020219",0.5625
"400","ENSG00000020256",0.8125
"401","ENSG00000020426",0.625
"402","ENSG00000020577",0.84375
"403","ENSG00000020633",0.71875
"404","ENSG00000020922",0.78125
"405","ENSG00000021300",0.78125
"406","ENSG00000021355",0.6875
"407","ENSG00000021461",0.8125
"408","ENSG00000021488",0.6875
"409","ENSG00000021574",0.78125
"410","ENSG00000021645",0.9375
"411","ENSG00000021762",0.625
"412","ENSG00000021776",0.875
"413","ENSG00000021826",0.875
"414","ENSG00000021852",0.65625
"415","ENSG00000022267",0.5625
"416","ENSG00000022277",0.8125
"417","ENSG00000022355",0.8125
"418","ENSG00000022556",0.84375
"419","ENSG00000022567",0.5625
"420","ENSG00000022840",0.90625
"421","ENSG00000022976",0.59375
"422","ENSG00000023041",0.65625
"423","ENSG00000023171",0.875
"424","ENSG00000023191",0.65625
"425","ENSG00000023228",0.84375
"426","ENSG00000023287",0.9375
"427","ENSG00000023318",0.8125
"428","ENSG00000023330",0.71875
"429","ENSG00000023445",0.90625
"430","ENSG00000023516",0.9375
"431","ENSG00000023572",0.53125
"432","ENSG00000023608",0.625
"433","ENSG00000023697",0.75
"434","ENSG00000023734",0.78125
"435","ENSG00000023839",0.875
"436","ENSG00000023892",0.625
"437","ENSG00000023902",0.71875
"438","ENSG00000023909",0.8125
"439","ENSG00000024048",0.9375
"440","ENSG00000024422",0.65625
"441","ENSG00000024526",0.78125
"442","ENSG00000024862",0.6875
"443","ENSG00000025039",0.8125
"444","ENSG00000025156",0.6875
"445","ENSG00000025293",0.96875
"446","ENSG00000025423",0.59375
"447","ENSG00000025434",0.65625
"448","ENSG00000025708",0.375
"449","ENSG00000025770",0.6875
"450","ENSG00000025772",0.5
"451","ENSG00000025796",0.9375
"452","ENSG00000025800",0.84375
"453","ENSG00000026025",0.6875
"454","ENSG00000026036",0.125
"455","ENSG00000026103",0.625
"456","ENSG00000026297",0.71875
"457","ENSG00000026508",0.875
"458","ENSG00000026559",0.71875
"459","ENSG00000026652",0.84375
"460","ENSG00000026751",0.6875
"461","ENSG00000026950",0.71875
"462","ENSG00000027001",0.90625
"463","ENSG00000027075",0.78125
"464","ENSG00000027644",0.65625
"465","ENSG00000027697",0.65625
"466","ENSG00000027847",0.71875
"467","ENSG00000027869",0.5
"468","ENSG00000028116",0.75
"469","ENSG00000028137",0.59375
"470","ENSG00000028203",0.8125
"471","ENSG00000028277",0.9375
"472","ENSG00000028310",0.875
"473","ENSG00000028528",0.8125
"474","ENSG00000028839",0.65625
"475","ENSG00000029153",0.71875
"476","ENSG00000029363",0.71875
"477","ENSG00000029364",0.71875
"478","ENSG00000029534",0.875
"479","ENSG00000029559",0.6875
"480","ENSG00000029639",0.53125
"481","ENSG00000029725",0.875
"482","ENSG00000029993",0.5
"483","ENSG00000030066",0.875
"484","ENSG00000030110",0.4375
"485","ENSG00000030304",0.90625
"486","ENSG00000030419",0.78125
"487","ENSG00000030582",0.375
"488","ENSG00000031003",0.90625
"489","ENSG00000031081",0.875
"490","ENSG00000031691",0.65625
"491","ENSG00000031698",0.8125
"492","ENSG00000031823",0.875
"493","ENSG00000032219",0.96875
"494","ENSG00000032389",0.71875
"495","ENSG00000032444",0.3125
"496","ENSG00000032742",0.875
"497","ENSG00000033011",0.3125
"498","ENSG00000033030",0.8125
"499","ENSG00000033050",0.78125
"500","ENSG00000033100",0.8125
"501","ENSG00000033122",0.90625
"502","ENSG00000033170",0.96875
"503","ENSG00000033178",0.90625
"504","ENSG00000033327",0.78125
"505","ENSG00000033627",0.9375
"506","ENSG00000033800",0.75
"507","ENSG00000033867",0.9375
"508","ENSG00000034053",0.75
"509","ENSG00000034152",0.65625
"510","ENSG00000034239",0.75
"511","ENSG00000034510",0.5625
"512","ENSG00000034533",0.4375
"513","ENSG00000034677",0.875
"514","ENSG00000034693",0.71875
"515","ENSG00000034713",0.65625
"516","ENSG00000034971",0.75
"517","ENSG00000035115",0.875
"518","ENSG00000035141",0.5
"519","ENSG00000035403",0.875
"520","ENSG00000035499",0.78125
"521","ENSG00000035664",0.875
"522","ENSG00000035681",0.875
"523","ENSG00000035687",0.6875
"524","ENSG00000035720",0.65625
"525","ENSG00000035862",0.59375
"526","ENSG00000035928",0.875
"527","ENSG00000036054",0.875
"528","ENSG00000036257",0.84375
"529","ENSG00000036448",0.875
"530","ENSG00000036473",0.5625
"531","ENSG00000036530",0.8125
"532","ENSG00000036549",0.6875
"533","ENSG00000036565",0.875
"534","ENSG00000036672",0.71875
"535","ENSG00000036828",0.75
"536","ENSG00000037042",0.3125
"537","ENSG00000037241",0.40625
"538","ENSG00000037280",0.625
"539","ENSG00000037474",0.875
"540","ENSG00000037637",0.84375
"541","ENSG00000037749",0.6875
"542","ENSG00000037757",0.5
"543","ENSG00000037897",0.46875
"544","ENSG00000037965",0.625
"545","ENSG00000038002",0.53125
"546","ENSG00000038210",0.25
"547","ENSG00000038219",0.9375
"548","ENSG00000038274",0.71875
"549","ENSG00000038295",0.875
"550","ENSG00000038358",0.5
"551","ENSG00000038382",1
"552","ENSG00000038427",0.875
"553","ENSG00000038532",0.90625
"554","ENSG00000038945",0.8125
"555","ENSG00000039068",0.84375
"556","ENSG00000039123",0.90625
"557","ENSG00000039139",0.96875
"558","ENSG00000039319",0.8125
"559","ENSG00000039523",0.4375
"560","ENSG00000039537",0.71875
"561","ENSG00000039560",0.84375
"562","ENSG00000039600",0.65625
"563","ENSG00000039650",0.59375
"564","ENSG00000039987",0.46875
"565","ENSG00000040199",0.78125
"566","ENSG00000040275",0.6875
"567","ENSG00000040341",0.84375
"568","ENSG00000040487",0.40625
"569","ENSG00000040531",0.6875
"570","ENSG00000040608",0.40625
"571","ENSG00000040633",0.53125
"572","ENSG00000040731",0.59375
"573","ENSG00000040933",1
"574","ENSG00000041353",0.78125
"575","ENSG00000041357",0.8125
"576","ENSG00000041515",0.8125
"577","ENSG00000041802",0.75
"578","ENSG00000041880",0.46875
"579","ENSG00000041982",0.8125
"580","ENSG00000041988",0.40625
"581","ENSG00000042062",0.8125
"582","ENSG00000042088",0.78125
"583","ENSG00000042286",0.71875
"584","ENSG00000042304",0.5625
"585","ENSG00000042317",0.9375
"586","ENSG00000042429",0.84375
"587","ENSG00000042445",0.65625
"588","ENSG00000042493",0.71875
"589","ENSG00000042753",0.6875
"590","ENSG00000042781",0.9375
"591","ENSG00000042813",0.71875
"592","ENSG00000042832",0.9375
"593","ENSG00000042980",0.84375
"594","ENSG00000043039",0.71875
"595","ENSG00000043093",0.8125
"596","ENSG00000043143",0.8125
"597","ENSG00000043355",0.84375
"598","ENSG00000043462",0.78125
"599","ENSG00000043514",0.5625
"600","ENSG00000043591",0.65625
"601","ENSG00000044012",0.28125
"602","ENSG00000044090",0.6875
"603","ENSG00000044115",0.8125
"604","ENSG00000044446",0.625
"605","ENSG00000044459",0.90625
"606","ENSG00000044524",0.75
"607","ENSG00000044574",0.71875
"608","ENSG00000046604",0.6875
"609","ENSG00000046647",0.3125
"610","ENSG00000046651",0.78125
"611","ENSG00000046653",0.625
"612","ENSG00000046774",0.40625
"613","ENSG00000046889",0.9375
"614","ENSG00000047056",0.84375
"615","ENSG00000047188",0.875
"616","ENSG00000047230",0.6875
"617","ENSG00000047249",0.875
"618","ENSG00000047315",0.75
"619","ENSG00000047346",0.78125
"620","ENSG00000047365",0.96875
"621","ENSG00000047410",0.9375
"622","ENSG00000047457",0.78125
"623","ENSG00000047578",0.875
"624","ENSG00000047579",0.71875
"625","ENSG00000047597",0.53125
"626","ENSG00000047617",0.875
"627","ENSG00000047621",0.6875
"628","ENSG00000047634",0.53125
"629","ENSG00000047644",0.84375
"630","ENSG00000047648",0.8125
"631","ENSG00000047662",0.71875
"632","ENSG00000047849",0.96875
"633","ENSG00000047932",0.8125
"634","ENSG00000047936",0.875
"635","ENSG00000048028",0.78125
"636","ENSG00000048052",0.96875
"637","ENSG00000048140",0.5625
"638","ENSG00000048162",0.625
"639","ENSG00000048342",0.90625
"640","ENSG00000048392",0.75
"641","ENSG00000048405",0.65625
"642","ENSG00000048462",0.5
"643","ENSG00000048471",0.84375
"644","ENSG00000048540",0.875
"645","ENSG00000048544",0.625
"646","ENSG00000048545",0.59375
"647","ENSG00000048649",0.90625
"648","ENSG00000048707",0.96875
"649","ENSG00000048740",0.875
"650","ENSG00000048828",0.875
"651","ENSG00000048991",1
"652","ENSG00000049089",0.8125
"653","ENSG00000049130",0.78125
"654","ENSG00000049167",0.59375
"655","ENSG00000049192",0.90625
"656","ENSG00000049239",0.8125
"657","ENSG00000049245",0.71875
"658","ENSG00000049246",0.84375
"659","ENSG00000049247",0.5
"660","ENSG00000049249",0.75
"661","ENSG00000049283",0.59375
"662","ENSG00000049323",0.90625
"663","ENSG00000049449",0.78125
"664","ENSG00000049540",0.65625
"665","ENSG00000049541",0.625
"666","ENSG00000049618",0.9375
"667","ENSG00000049656",0.6875
"668","ENSG00000049759",0.875
"669","ENSG00000049768",0.21875
"670","ENSG00000049769",0.53125
"671","ENSG00000049860",0.5625
"672","ENSG00000049883",0.90625
"673","ENSG00000050030",0.6875
"674","ENSG00000050130",0.75
"675","ENSG00000050165",0.53125
"676","ENSG00000050327",0.21875
"677","ENSG00000050344",0.625
"678","ENSG00000050393",0.875
"679","ENSG00000050405",0.75
"680","ENSG00000050426",0.75
"681","ENSG00000050438",0.875
"682","ENSG00000050555",0.84375
"683","ENSG00000050628",0.6875
"684","ENSG00000050730",0.75
"685","ENSG00000050748",0.78125
"686","ENSG00000050767",0.84375
"687","ENSG00000050820",0.46875
"688","ENSG00000051009",0.78125
"689","ENSG00000051108",0.90625
"690","ENSG00000051128",0.28125
"691","ENSG00000051180",0.6875
"692","ENSG00000051341",0.90625
"693","ENSG00000051382",0.84375
"694","ENSG00000051523",0.5625
"695","ENSG00000051596",0.28125
"696","ENSG00000051620",0.78125
"697","ENSG00000051825",0.9375
"698","ENSG00000052126",0.96875
"699","ENSG00000052344",0.4375
"700","ENSG00000052723",0.78125
"701","ENSG00000052749",0.78125
"702","ENSG00000052795",0.875
"703","ENSG00000052802",0.5625
"704","ENSG00000052841",0.875
"705","ENSG00000052850",0.75
"706","ENSG00000053108",0.8125
"707","ENSG00000053254",0.9375
"708","ENSG00000053328",0.5625
"709","ENSG00000053371",0.53125
"710","ENSG00000053372",0.625
"711","ENSG00000053438",0.40625
"712","ENSG00000053501",0.4375
"713","ENSG00000053524",0.90625
"714","ENSG00000053702",0.5625
"715","ENSG00000053747",1
"716","ENSG00000053770",0.84375
"717","ENSG00000053900",0.8125
"718","ENSG00000053918",0.5
"719","ENSG00000054116",0.5
"720","ENSG00000054118",0.8125
"721","ENSG00000054148",0.25
"722","ENSG00000054179",0.5
"723","ENSG00000054219",0.5
"724","ENSG00000054267",0.75
"725","ENSG00000054277",0.4375
"726","ENSG00000054282",0.90625
"727","ENSG00000054356",0.75
"728","ENSG00000054392",0.75
"729","ENSG00000054523",0.96875
"730","ENSG00000054598",0.625
"731","ENSG00000054611",0.71875
"732","ENSG00000054654",1
"733","ENSG00000054690",0.75
"734","ENSG00000054793",0.84375
"735","ENSG00000054796",0.53125
"736","ENSG00000054803",0.625
"737","ENSG00000054938",0.625
"738","ENSG00000054965",0.8125
"739","ENSG00000054967",0.53125
"740","ENSG00000054983",0.8125
"741","ENSG00000055044",0.84375
"742","ENSG00000055070",0.65625
"743","ENSG00000055118",0.5625
"744","ENSG00000055130",0.8125
"745","ENSG00000055147",0.90625
"746","ENSG00000055163",0.9375
"747","ENSG00000055208",0.78125
"748","ENSG00000055211",0.59375
"749","ENSG00000055332",0.78125
"750","ENSG00000055483",0.96875
"751","ENSG00000055609",0.96875
"752","ENSG00000055732",0.78125
"753","ENSG00000055813",0.21875
"754","ENSG00000055917",0.96875
"755","ENSG00000055950",0.53125
"756","ENSG00000055955",0.1875
"757","ENSG00000055957",0.78125
"758","ENSG00000056050",0.6875
"759","ENSG00000056097",0.8125
"760","ENSG00000056277",0.65625
"761","ENSG00000056291",0.59375
"762","ENSG00000056487",0.78125
"763","ENSG00000056558",0.75
"764","ENSG00000056586",0.875
"765","ENSG00000056736",0.59375
"766","ENSG00000056972",0.6875
"767","ENSG00000056998",0.65625
"768","ENSG00000057019",0.875
"769","ENSG00000057149",0.4375
"770","ENSG00000057252",0.8125
"771","ENSG00000057294",0.84375
"772","ENSG00000057468",0.59375
"773","ENSG00000057593",0.59375
"774","ENSG00000057608",0.8125
"775","ENSG00000057657",0.71875
"776","ENSG00000057663",0.75
"777","ENSG00000057704",0.875
"778","ENSG00000057757",0.71875
"779","ENSG00000057935",0.8125
"780","ENSG00000058056",0.9375
"781","ENSG00000058063",0.78125
"782","ENSG00000058085",0.875
"783","ENSG00000058091",0.84375
"784","ENSG00000058262",0.59375
"785","ENSG00000058272",0.96875
"786","ENSG00000058335",0.96875
"787","ENSG00000058404",0.8125
"788","ENSG00000058453",0.65625
"789","ENSG00000058600",0.71875
"790","ENSG00000058668",0.875
"791","ENSG00000058673",0.875
"792","ENSG00000058729",0.6875
"793","ENSG00000058799",0.75
"794","ENSG00000058804",0.84375
"795","ENSG00000058866",0.90625
"796","ENSG00000059122",0.53125
"797","ENSG00000059145",0.59375
"798","ENSG00000059377",0.625
"799","ENSG00000059378",0.6875
"800","ENSG00000059573",0.75
"801","ENSG00000059588",0.875
"802","ENSG00000059691",0.90625
"803","ENSG00000059728",0.84375
"804","ENSG00000059758",0.84375
"805","ENSG00000059769",0.4375
"806","ENSG00000059804",0.78125
"807","ENSG00000059915",0.46875
"808","ENSG00000060069",0.6875
"809","ENSG00000060138",0.96875
"810","ENSG00000060140",0.78125
"811","ENSG00000060237",0.9375
"812","ENSG00000060303",0.3125
"813","ENSG00000060339",0.875
"814","ENSG00000060491",0.34375
"815","ENSG00000060558",0.625
"816","ENSG00000060566",0.78125
"817","ENSG00000060642",0.59375
"818","ENSG00000060656",0.75
"819","ENSG00000060688",0.78125
"820","ENSG00000060709",0.8125
"821","ENSG00000060718",0.96875
"822","ENSG00000060749",0.9375
"823","ENSG00000060762",0.5
"824","ENSG00000060971",0.65625
"825","ENSG00000060982",0.65625
"826","ENSG00000061273",0.59375
"827","ENSG00000061337",0.625
"828","ENSG00000061455",1
"829","ENSG00000061492",0.5625
"830","ENSG00000061656",0.5
"831","ENSG00000061676",0.9375
"832","ENSG00000061794",0.6875
"833","ENSG00000061918",0.78125
"834","ENSG00000061936",0.78125
"835","ENSG00000061938",0.875
"836","ENSG00000061987",0.84375
